domain	doc_id	adu_pos	annotator	main_unit	aty	coarse_aty	second_type	coarse_second_type	parent_pos	parent_pos_rel	afu	text	text_parent
CL	D14-1003	6	pa	secondary	observation	outcomes	none	none	5	-1	support	We obtain gains up to 1.6 % BLEU and 1.7 % TER by rescoring 1000-best lists .	We demonstrate that our translation models are capable of improving strong baselines already including recurrent neural language models on three tasks : IWSLT 2013 German to English , BOLT Arabic to English and Chinese to English .
CL	D14-1004	1	pa	secondary	proposal	proposal	none	none	0	0	none	This paper investigates the use of neural networks for the acquisition of selectional preferences .	
CL	D14-1004	2	pa	main	proposal	proposal	none	none	1	-1	elaboration	Inspired by recent advances of neural network models for NLP applications , we propose a neural network model that learns to discriminate between felicitous and infelicitous arguments for a particular predicate .	This paper investigates the use of neural networks for the acquisition of selectional preferences .
CL	D14-1004	3	pa	secondary	proposal_implementation	proposal	none	none	2	-1	elaboration	The model is entirely unsupervised - preferences are learned from unannotated corpus data .	Inspired by recent advances of neural network models for NLP applications , we propose a neural network model that learns to discriminate between felicitous and infelicitous arguments for a particular predicate .
CL	D14-1004	4	pa	secondary	proposal	proposal	none	none	2	-2	elaboration	We propose two neural network architectures : one that handles standard two-way selectional preferences and one that is able to deal with multi-way selectional preferences .	Inspired by recent advances of neural network models for NLP applications , we propose a neural network model that learns to discriminate between felicitous and infelicitous arguments for a particular predicate .
CL	D14-1004	5	pa	secondary	result_means	outcomes	none	none	2	-3	support	The model's performance is evaluated on a pseudo-disambiguation task , on which it is shown to achieve state of the art performance .	Inspired by recent advances of neural network models for NLP applications , we propose a neural network model that learns to discriminate between felicitous and infelicitous arguments for a particular predicate .
CL	D14-1005	1	pa	main	proposal	proposal	none	none	0	0	none	We construct multi-modal concept representations by concatenating a skip-gram linguistic representation vector with a visual concept representation vector computed using the feature extraction layers of a deep convolutional neural network ( CNN ) trained on a large labeled object recognition dataset .	
CL	D14-1005	2	pa	secondary	conclusion	outcomes	none	none	1	-1	support	This transfer learning approach brings a clear performance gain over features based on the traditional bag-of-visual-word approach .	We construct multi-modal concept representations by concatenating a skip-gram linguistic representation vector with a visual concept representation vector computed using the feature extraction layers of a deep convolutional neural network ( CNN ) trained on a large labeled object recognition dataset .
CL	D14-1005	3	pa	secondary	means	method	none	none	2	-1	by-means	Experimental results are reported on the WordSim353 and MEN semantic relatedness evaluation tasks .	This transfer learning approach brings a clear performance gain over features based on the traditional bag-of-visual-word approach .
CL	D14-1005	4	pa	secondary	proposal_implementation	proposal	none	none	1	-3	elaboration	We use visual features computed using either ImageNet or ESP Game images .	We construct multi-modal concept representations by concatenating a skip-gram linguistic representation vector with a visual concept representation vector computed using the feature extraction layers of a deep convolutional neural network ( CNN ) trained on a large labeled object recognition dataset .
CL	D14-1006	1	pa	main	proposal	proposal	none	none	0	0	none	In this paper , we present a novel approach for identifying argumentative discourse structures in persuasive essays .	
CL	D14-1006	2	pa	secondary	information_additional	other	none	none	1	-1	info-optional	The structure of argumentation consists of several components ( i.e. claims and premises ) that are connected with argumentative relations .	In this paper , we present a novel approach for identifying argumentative discourse structures in persuasive essays .
CL	D14-1006	3	pa	secondary	proposal	proposal	none	none	1	-2	elaboration	We consider this task in two consecutive steps .	In this paper , we present a novel approach for identifying argumentative discourse structures in persuasive essays .
CL	D14-1006	4	pa	secondary	proposal_implementation	proposal	none	none	3	-1	elaboration	First , we identify the components of arguments using multiclass classification .	We consider this task in two consecutive steps .
CL	D14-1006	5	pa	secondary	proposal_implementation	proposal	none	none	4	-1	sequence	Second , we classify a pair of argument components as either support or non-support for identifying the structure of argumentative discourse .	First , we identify the components of arguments using multiclass classification .
CL	D14-1006	6	pa	secondary	proposal	proposal	none	none	3	-3	elaboration	For both tasks , we evaluate several classifiers and propose novel feature sets including structural , lexical , syntactic and contextual features .	We consider this task in two consecutive steps .
CL	D14-1006	7	pa	secondary	observation	outcomes	none	none	1	-6	support	In our experiments , we obtain a macro F1-score of 0.726 for identifying argument components and 0.722 for argumentative relations .	In this paper , we present a novel approach for identifying argumentative discourse structures in persuasive essays .
CL	D14-1007	1	pa	main	proposal	proposal	none	none	0	0	none	This paper proposes a Markov Decision Process and reinforcement learning based approach for domain selection in a multi-domain Spoken Dialogue System built on a distributed architecture .	
CL	D14-1007	2	pa	secondary	proposal	proposal	none	none	1	-1	elaboration	In the proposed framework , the domain selection problem is treated as sequential planning instead of classification , such that confirmation and clarification interaction mechanisms are supported .	This paper proposes a Markov Decision Process and reinforcement learning based approach for domain selection in a multi-domain Spoken Dialogue System built on a distributed architecture .
CL	D14-1007	3	pa	secondary	result_means	outcomes	conclusion	outcomes	1	-2	support	In addition , it is shown that by using a model parameter tying trick , the extensibility of the system can be preserved , where dialogue components in new domains can be easily plugged in , without re-training the domain selection policy .	This paper proposes a Markov Decision Process and reinforcement learning based approach for domain selection in a multi-domain Spoken Dialogue System built on a distributed architecture .
CL	D14-1007	4	pa	secondary	result	outcomes	none	none	1	-3	support	The experimental results based on human subjects suggest that the proposed model marginally outperforms a non-trivial baseline .	This paper proposes a Markov Decision Process and reinforcement learning based approach for domain selection in a multi-domain Spoken Dialogue System built on a distributed architecture .
CL	D14-1008	1	pa	secondary	motivation_background	motivation	none	none	2	1	support	Discourse parsing is a challenging task and plays a critical role in discourse analysis .	In this paper , we focus on labeling full argument spans of discourse connectives in the Penn Discourse Treebank ( PDTB ) .
CL	D14-1008	2	pa	secondary	proposal	proposal	none	none	0	0	none	In this paper , we focus on labeling full argument spans of discourse connectives in the Penn Discourse Treebank ( PDTB ) .	
CL	D14-1008	3	pa	secondary	motivation_background	motivation	none	none	4	1	support	Previous studies cast this task as a linear tagging or subtree extraction problem .	In this paper , we propose a novel constituent-based approach to argument labeling , which integrates the advantages of both linear tagging and subtree extraction .
CL	D14-1008	4	pa	main	proposal	proposal	none	none	2	-2	elaboration	In this paper , we propose a novel constituent-based approach to argument labeling , which integrates the advantages of both linear tagging and subtree extraction .	In this paper , we focus on labeling full argument spans of discourse connectives in the Penn Discourse Treebank ( PDTB ) .
CL	D14-1008	5	pa	secondary	proposal	proposal	none	none	4	-1	elaboration	In particular , the proposed approach unifies intra- and inter-sentence cases by treating the immediately preceding sentence as a special constituent .	In this paper , we propose a novel constituent-based approach to argument labeling , which integrates the advantages of both linear tagging and subtree extraction .
CL	D14-1008	6	pa	secondary	proposal_implementation	proposal	none	none	5	-1	elaboration	Besides , a joint inference mechanism is introduced to incorporate global information across arguments into our constituent-based approach via integer linear programming .	In particular , the proposed approach unifies intra- and inter-sentence cases by treating the immediately preceding sentence as a special constituent .
CL	D14-1008	7	pa	secondary	result_means	outcomes	none	none	4	-3	support	Evaluation on PDTB shows significant performance improvements of our constituent-based approach over the best state-of-the-art system .	In this paper , we propose a novel constituent-based approach to argument labeling , which integrates the advantages of both linear tagging and subtree extraction .
CL	D14-1008	8	pa	secondary	result	outcomes	none	none	7	-1	elaboration	It also shows the effectiveness of our joint inference mechanism in modeling global information across arguments .	Evaluation on PDTB shows significant performance improvements of our constituent-based approach over the best state-of-the-art system .
CL	D14-1009	1	pa	main	proposal	proposal	none	none	0	0	none	We present STIR ( STrongly Incremental Repair detection ) , a system that detects speech repairs and edit terms on transcripts incrementally with minimal latency .	
CL	D14-1009	2	pa	secondary	proposal_implementation	proposal	none	none	1	-1	elaboration	STIR uses information-theoretic measures from n-gram models as its principal decision features in a pipeline of classifiers detecting the different stages of repairs .	We present STIR ( STrongly Incremental Repair detection ) , a system that detects speech repairs and edit terms on transcripts incrementally with minimal latency .
CL	D14-1009	3	pa	secondary	result_means	outcomes	none	none	1	-2	support	Results on the Switchboard disfluency tagged corpus show utterance-final accuracy on a par with state-of-the-art incremental repair detection methods , but with better incremental accuracy , faster time-to-detection and less computational overhead .	We present STIR ( STrongly Incremental Repair detection ) , a system that detects speech repairs and edit terms on transcripts incrementally with minimal latency .
CL	D14-1009	4	pa	secondary	means	method	none	none	3	-1	by-means	We evaluate its performance using incremental metrics and propose new repair processing evaluation standards .	Results on the Switchboard disfluency tagged corpus show utterance-final accuracy on a par with state-of-the-art incremental repair detection methods , but with better incremental accuracy , faster time-to-detection and less computational overhead .
CL	D14-1010	1	pa	secondary	motivation_background	motivation	none	none	3	2	support	There is rich knowledge encoded in online web data .	In this paper we adopt partial-label learning with conditional random fields to make use of this valuable knowledge for semi-supervised Chinese word segmentation .
CL	D14-1010	2	pa	secondary	motivation_background	motivation	none	none	1	-1	elaboration	For example , punctuation and entity tags in Wikipedia data define some word boundaries in a sentence .	There is rich knowledge encoded in online web data .
CL	D14-1010	3	pa	main	proposal	proposal	none	none	0	0	none	In this paper we adopt partial-label learning with conditional random fields to make use of this valuable knowledge for semi-supervised Chinese word segmentation .	
CL	D14-1010	4	pa	secondary	information_additional	other	none	none	3	-1	info-optional	The basic idea of partial-label learning is to optimize a cost function that marginalizes the probability mass in the constrained space that encodes this knowledge .	In this paper we adopt partial-label learning with conditional random fields to make use of this valuable knowledge for semi-supervised Chinese word segmentation .
CL	D14-1010	5	pa	secondary	result	outcomes	none	none	3	-2	support	By integrating some domain adaptation techniques , such as EasyAdapt , our result reaches an F-measure of 95.98 % on the CTB-6 corpus , a significant improvement from both the supervised baseline and a previous proposed approach , namely constrained decode .	In this paper we adopt partial-label learning with conditional random fields to make use of this valuable knowledge for semi-supervised Chinese word segmentation .
CL	D14-1011	1	pa	secondary	motivation_background	motivation	none	none	2	1	info-required	Microblogs have recently received widespread interest from NLP researchers .	However , current tools for Japanese word segmentation and POS tagging still perform poorly on microblog texts .
CL	D14-1011	2	pa	secondary	motivation_problem	motivation	none	none	3	1	support	However , current tools for Japanese word segmentation and POS tagging still perform poorly on microblog texts .	We developed an annotated corpus and proposed a joint model for over-coming this situation .
CL	D14-1011	3	pa	main	proposal	proposal	none	none	0	0	none	We developed an annotated corpus and proposed a joint model for over-coming this situation .	
CL	D14-1011	4	pa	secondary	conclusion	outcomes	none	none	3	-1	support	Our annotated corpus of microblog texts enables not only training of accurate statistical models but also quantitative evaluation of their performance .	We developed an annotated corpus and proposed a joint model for over-coming this situation .
CL	D14-1011	5	pa	secondary	conclusion	outcomes	none	none	3	-2	support	Our joint model with lexical normalization handles the orthographic diversity of microblog texts .	We developed an annotated corpus and proposed a joint model for over-coming this situation .
CL	D14-1011	6	pa	secondary	proposal_implementation	proposal	result	outcomes	3	-3	elaboration	We conducted an experiment to demonstrate that the corpus and model substantially contribute to boosting accuracy .	We developed an annotated corpus and proposed a joint model for over-coming this situation .
CL	D14-1012	1	pa	secondary	motivation_background	motivation	none	none	2	1	info-required	Recent work has shown success in using continuous word embeddings learned from unlabeled data as features to improve supervised NLP systems , which is regarded as a simple semi-supervised learning mechanism .	However , fundamental problems on effectively incorporating the word embedding features within the framework of linear models remain .
CL	D14-1012	2	pa	secondary	motivation_problem	motivation	none	none	3	1	support	However , fundamental problems on effectively incorporating the word embedding features within the framework of linear models remain .	In this study , we investigate and analyze three different approaches , including a new proposed distributional prototype approach , for utilizing the embedding features .
CL	D14-1012	3	pa	main	proposal	proposal	none	none	0	0	none	In this study , we investigate and analyze three different approaches , including a new proposed distributional prototype approach , for utilizing the embedding features .	
CL	D14-1012	4	pa	secondary	conclusion	outcomes	none	none	3	-1	support	The presented approaches can be integrated into most of the classical linear models in NLP .	In this study , we investigate and analyze three different approaches , including a new proposed distributional prototype approach , for utilizing the embedding features .
CL	D14-1012	5	pa	secondary	result_means	outcomes	none	none	3	-2	support	Experiments on the task of named entity recognition show that each of the proposed approaches can better utilize the word embedding features , among which the distributional prototype approach performs the best .	In this study , we investigate and analyze three different approaches , including a new proposed distributional prototype approach , for utilizing the embedding features .
CL	D14-1012	6	pa	secondary	result_means	outcomes	observation	outcomes	5	-1	elaboration	Moreover , the combination of the approaches provides additive improvements , outperforming the dense and continuous embedding features by nearly 2 points of F1 score .	Experiments on the task of named entity recognition show that each of the proposed approaches can better utilize the word embedding features , among which the distributional prototype approach performs the best .
CL	D14-1013	1	pa	secondary	motivation_background	motivation	none	none	2	1	info-required	Punctuation prediction and disfluency prediction can improve downstream natural language processing tasks such as machine translation and information extraction .	Combining the two tasks can potentially improve the efficiency of the overall pipeline system and reduce error propagation .
CL	D14-1013	2	pa	secondary	motivation_hypothesis	motivation	none	none	3	1	support	Combining the two tasks can potentially improve the efficiency of the overall pipeline system and reduce error propagation .	In this work , we compare various methods for combining punctuation prediction ( PU ) and disfluency prediction ( DF ) on the Switchboard corpus .
CL	D14-1013	3	pa	main	proposal	proposal	none	none	0	0	none	In this work , we compare various methods for combining punctuation prediction ( PU ) and disfluency prediction ( DF ) on the Switchboard corpus .	
CL	D14-1013	4	pa	secondary	proposal	proposal	none	none	3	-1	elaboration	We compare an isolated prediction approach with a cascade approach , a rescoring approach , and three joint model approaches .	In this work , we compare various methods for combining punctuation prediction ( PU ) and disfluency prediction ( DF ) on the Switchboard corpus .
CL	D14-1013	5	pa	secondary	result	outcomes	none	none	4	-1	support	For the cascade approach , we show that the soft cascade method is better than the hard cascade method .	We compare an isolated prediction approach with a cascade approach , a rescoring approach , and three joint model approaches .
CL	D14-1013	6	pa	secondary	proposal_implementation	proposal	none	none	4	-2	elaboration	We also use the cascade models to generate an n-best list , use the bi-directional cascade models to perform rescoring , and compare that with the results of the cascade models .	We compare an isolated prediction approach with a cascade approach , a rescoring approach , and three joint model approaches .
CL	D14-1013	7	pa	secondary	proposal_implementation	proposal	none	none	4	-3	elaboration	For the joint model approach , we compare mixed-label Linear-chain Conditional Random Field ( LCRF ) , cross-product LCRF and 2-layer Factorial Conditional Random Field ( FCRF ) with soft-cascade LCRF .	We compare an isolated prediction approach with a cascade approach , a rescoring approach , and three joint model approaches .
CL	D14-1013	8	pa	secondary	result	outcomes	observation	outcomes	3	-5	support	Our results show that the various methods linking the two tasks are not significantly different from one another , although they perform better than the isolated prediction method by 0.5-1.5 % in the F1 score .	In this work , we compare various methods for combining punctuation prediction ( PU ) and disfluency prediction ( DF ) on the Switchboard corpus .
CL	D14-1013	9	pa	secondary	result	outcomes	none	none	8	-1	elaboration	Moreover , the clique order of features also shows a marked difference .	Our results show that the various methods linking the two tasks are not significantly different from one another , although they perform better than the isolated prediction method by 0.5-1.5 % in the F1 score .
CL	D14-1014	1	pa	main	proposal	proposal	none	none	0	0	none	We introduce submodular optimization to the problem of training data subset selection for statistical machine translation ( SMT ) .	
CL	D14-1014	2	pa	secondary	conclusion	outcomes	proposal_implementation	proposal	1	-1	support	By explicitly formulating data selection as a submodular program , we obtain fast scalable selection algorithms with mathematical performance guarantees , resulting in a unified framework that clarifies existing approaches and also makes both new and many previous approaches easily accessible .	We introduce submodular optimization to the problem of training data subset selection for statistical machine translation ( SMT ) .
CL	D14-1014	3	pa	secondary	proposal	proposal	none	none	1	-2	elaboration	We present a new class of submodular functions designed specifically for SMT and evaluate them on two different translation tasks .	We introduce submodular optimization to the problem of training data subset selection for statistical machine translation ( SMT ) .
CL	D14-1014	4	pa	secondary	result	outcomes	none	none	2	-2	support	Our results show that our best submodular method significantly outperforms several baseline methods , including the widely-used cross-entropy based data selection method .	By explicitly formulating data selection as a submodular program , we obtain fast scalable selection algorithms with mathematical performance guarantees , resulting in a unified framework that clarifies existing approaches and also makes both new and many previous approaches easily accessible .
CL	D14-1014	5	pa	secondary	conclusion	outcomes	none	none	2	-3	elaboration	In addition , our approach easily scales to large data sets and is applicable to other data selection problems in natural language processing .	By explicitly formulating data selection as a submodular program , we obtain fast scalable selection algorithms with mathematical performance guarantees , resulting in a unified framework that clarifies existing approaches and also makes both new and many previous approaches easily accessible .
CL	D14-1015	1	pa	main	proposal	proposal	none	none	0	0	none	We investigate how to improve bilingual embedding which has been successfully used as a feature in phrase-based statistical machine translation ( SMT ) .	
CL	D14-1015	2	pa	secondary	motivation_problem	motivation	none	none	1	-1	support	Despite bilingual embedding's success , the contextual information , which is of critical importance to translation quality , was ignored in previous work .	We investigate how to improve bilingual embedding which has been successfully used as a feature in phrase-based statistical machine translation ( SMT ) .
CL	D14-1015	3	pa	secondary	proposal	proposal	none	none	1	-2	elaboration	To employ the contextual information , we propose a simple and memory-efficient model for learning bilingual embedding , taking both the source phrase and context around the phrase into account .	We investigate how to improve bilingual embedding which has been successfully used as a feature in phrase-based statistical machine translation ( SMT ) .
CL	D14-1015	4	pa	secondary	proposal_implementation	proposal	none	none	3	-1	elaboration	Bilingual translation scores generated from our proposed bilingual embedding model are used as features in our SMT system .	To employ the contextual information , we propose a simple and memory-efficient model for learning bilingual embedding , taking both the source phrase and context around the phrase into account .
CL	D14-1015	5	pa	secondary	result	outcomes	none	none	3	-2	support	Experimental results show that the proposed method achieves significant improvements on large-scale Chinese-English translation task .	To employ the contextual information , we propose a simple and memory-efficient model for learning bilingual embedding , taking both the source phrase and context around the phrase into account .
CL	D14-1016	1	pa	secondary	proposal	proposal	none	none	0	0	none	We present a novel approach to improve word alignment for statistical machine translation ( SMT ) .	
CL	D14-1016	2	pa	secondary	motivation_background	motivation	none	none	3	1	info-required	Conventional word alignment methods allow discontinuous alignment , meaning that a source ( or target ) word links to several target ( or source ) words whose positions are discontinuous .	However , we cannot extract phrase pairs from this kind of alignments as they break the alignment consistency constraint .
CL	D14-1016	3	pa	secondary	motivation_problem	motivation	none	none	4	1	support	However , we cannot extract phrase pairs from this kind of alignments as they break the alignment consistency constraint .	In this paper , we use a weighted vote method to transform discontinuous word alignment to continuous alignment , which enables SMT systems extract more phrase pairs .
CL	D14-1016	4	pa	main	proposal	proposal	none	none	1	-3	elaboration	In this paper , we use a weighted vote method to transform discontinuous word alignment to continuous alignment , which enables SMT systems extract more phrase pairs .	We present a novel approach to improve word alignment for statistical machine translation ( SMT ) .
CL	D14-1016	5	pa	secondary	means	method	none	none	6	1	by-means	We carry out experiments on large scale Chinese-to-English and German-to-English translation tasks .	Experimental results show statistically significant improvements of BLEU score in both cases over the baseline systems .
CL	D14-1016	6	pa	secondary	result	outcomes	none	none	4	-2	support	Experimental results show statistically significant improvements of BLEU score in both cases over the baseline systems .	In this paper , we use a weighted vote method to transform discontinuous word alignment to continuous alignment , which enables SMT systems extract more phrase pairs .
CL	D14-1016	7	pa	secondary	observation	outcomes	none	none	6	-1	support	Our method produces a gain of +1.68 BLEU on NIST OpenMT04 for the phrase-based system , and a gain of +1.28 BLEU on NIST OpenMT06 for the hierarchical phrase-based system .	Experimental results show statistically significant improvements of BLEU score in both cases over the baseline systems .
CL	D14-1017	1	pa	secondary	motivation_problem	motivation	none	none	2	1	info-required	Generative word alignment models , such as IBM Models , are restricted to one-to-many alignment , and cannot explicitly represent many-to-many relationships in a bilingual text .	The problem is partially solved either by introducing heuristics or by agreement constraints such that two directional word alignments agree with each other .
CL	D14-1017	2	pa	secondary	motivation_problem	motivation	none	none	3	1	support	The problem is partially solved either by introducing heuristics or by agreement constraints such that two directional word alignments agree with each other .	In this paper , we focus on the posterior regularization frame-work ( Ganchev et al. , 2010 ) that can force two directional word alignment models to agree with each other during training , and propose new constraints that can take into account the difference between function words and content words .
CL	D14-1017	3	pa	main	proposal	proposal	none	none	0	0	none	In this paper , we focus on the posterior regularization frame-work ( Ganchev et al. , 2010 ) that can force two directional word alignment models to agree with each other during training , and propose new constraints that can take into account the difference between function words and content words .	
CL	D14-1017	4	pa	secondary	result_means	outcomes	none	none	3	-1	support	Experimental results on French-to-English and Japanese-to-English alignment tasks show statistically significant gains over the previous posterior regularization baseline .	In this paper , we focus on the posterior regularization frame-work ( Ganchev et al. , 2010 ) that can force two directional word alignment models to agree with each other during training , and propose new constraints that can take into account the difference between function words and content words .
CL	D14-1017	5	pa	secondary	result_means	outcomes	conclusion	outcomes	4	-1	elaboration	We also observed gains in Japanese-to-English translation tasks , which prove the effectiveness of our methods under grammatically different language pairs .	Experimental results on French-to-English and Japanese-to-English alignment tasks show statistically significant gains over the previous posterior regularization baseline .
CL	D14-1018	1	pa	secondary	motivation_background	motivation	none	none	2	1	info-required	Distinct properties of translated text have been the subject of research in linguistics for many year ( Baker , 1993 ) .	In recent years computational methods have been developed to empirically verify the linguistic theories about translated text ( Baroni and Bernardini , 2006 ) .
CL	D14-1018	2	pa	secondary	motivation_background	motivation	none	none	3	1	info-required	In recent years computational methods have been developed to empirically verify the linguistic theories about translated text ( Baroni and Bernardini , 2006 ) .	While many characteristics of translated text are more apparent in comparison to the original text , most of the prior research has focused on monolingual features of translated and original text .
CL	D14-1018	3	pa	secondary	motivation_problem	motivation	none	none	4	1	support	While many characteristics of translated text are more apparent in comparison to the original text , most of the prior research has focused on monolingual features of translated and original text .	The contribution of this work is introducing bilingual features that are capable of explaining differences in translation direction using localized linguistic phenomena at the phrase or sentence level , rather than using monolingual statistics at the document level .
CL	D14-1018	4	pa	main	proposal	proposal	none	none	0	0	none	The contribution of this work is introducing bilingual features that are capable of explaining differences in translation direction using localized linguistic phenomena at the phrase or sentence level , rather than using monolingual statistics at the document level .	
CL	D14-1018	5	pa	secondary	conclusion	outcomes	none	none	4	-1	support	We show that these bilingual features out-perform the monolingual features used in prior work ( Kurokawa et al. , 2009 ) for the task of classifying translation direction .	The contribution of this work is introducing bilingual features that are capable of explaining differences in translation direction using localized linguistic phenomena at the phrase or sentence level , rather than using monolingual statistics at the document level .
CL	D14-1019	1	pa	secondary	motivation_background	motivation	none	none	2	1	info-required	Recently , syntactic information has helped significantly to improve statistical machine translation .	However , the use of syntactic information may have a negative impact on the speed of translation because of the large number of rules , especially when syntax labels are projected from a parser in syntax-augmented machine translation .
CL	D14-1019	2	pa	secondary	motivation_problem	motivation	none	none	3	1	support	However , the use of syntactic information may have a negative impact on the speed of translation because of the large number of rules , especially when syntax labels are projected from a parser in syntax-augmented machine translation .	In this paper , we propose a syntax-label clustering method that uses an exchange algorithm in which syntax labels are clustered together to reduce the number of rules .
CL	D14-1019	3	pa	main	proposal	proposal	none	none	0	0	none	In this paper , we propose a syntax-label clustering method that uses an exchange algorithm in which syntax labels are clustered together to reduce the number of rules .	
CL	D14-1019	4	pa	secondary	proposal_implementation	proposal	none	none	3	-1	elaboration	The proposed method achieves clustering by directly maximizing the likelihood of synchronous rules , whereas previous work considered only the similarity of probabilistic distributions of labels .	In this paper , we propose a syntax-label clustering method that uses an exchange algorithm in which syntax labels are clustered together to reduce the number of rules .
CL	D14-1019	5	pa	secondary	result_means	outcomes	none	none	3	-2	support	We tested the proposed method on Japanese-English and Chinese-English translation tasks and found order-of-magnitude higher clustering speeds for reducing labels and gains in translation quality compared with previous clustering method .	In this paper , we propose a syntax-label clustering method that uses an exchange algorithm in which syntax labels are clustered together to reduce the number of rules .
CL	D14-1020	1	pa	secondary	motivation_background	motivation	none	none	2	1	info-required	Automatic metrics are widely used in machine translation as a substitute for human assessment .	With the introduction of any new metric comes the question of just how well that metric mimics human assessment of translation quality .
CL	D14-1020	2	pa	secondary	motivation_background	motivation	none	none	4	2	info-required	With the introduction of any new metric comes the question of just how well that metric mimics human assessment of translation quality .	Significance tests are generally not used to establish whether improvements over existing methods such as BLEU are statistically significant or have occurred simply by chance , however .
CL	D14-1020	3	pa	secondary	motivation_background	motivation	none	none	2	-1	elaboration	This is often measured by correlation with human judgment .	With the introduction of any new metric comes the question of just how well that metric mimics human assessment of translation quality .
CL	D14-1020	4	pa	secondary	motivation_problem	motivation	none	none	5	1	support	Significance tests are generally not used to establish whether improvements over existing methods such as BLEU are statistically significant or have occurred simply by chance , however .	In this paper , we introduce a significance test for comparing correlations of two metrics , along with an open-source implementation of the test .
CL	D14-1020	5	pa	main	proposal	proposal	none	none	0	0	none	In this paper , we introduce a significance test for comparing correlations of two metrics , along with an open-source implementation of the test .	
CL	D14-1020	6	pa	secondary	result_means	outcomes	none	none	5	-1	support	When applied to a range of metrics across seven language pairs , tests show that for a high proportion of metrics , there is insufficient evidence to conclude significant improvement over BLEU .	In this paper , we introduce a significance test for comparing correlations of two metrics , along with an open-source implementation of the test .
CL	D14-1021	1	pa	main	proposal	proposal	none	none	0	0	none	We study a novel architecture for syntactic SMT .	
CL	D14-1021	2	pa	secondary	proposal	proposal	proposal_implementation	proposal	1	-1	elaboration	In contrast to the dominant approach in the literature , the system does not rely on translation rules , but treat translation as an unconstrained target sentence generation task , using soft features to capture lexical and syntactic correspondences between the source and target languages .	We study a novel architecture for syntactic SMT .
CL	D14-1021	3	pa	secondary	proposal_implementation	proposal	none	none	2	-1	elaboration	Target syntax features and bilingual translation features are trained consistently in a discriminative model .	In contrast to the dominant approach in the literature , the system does not rely on translation rules , but treat translation as an unconstrained target sentence generation task , using soft features to capture lexical and syntactic correspondences between the source and target languages .
CL	D14-1021	4	pa	secondary	result_means	outcomes	none	none	1	-3	support	Experiments using the IWSLT 2010 dataset show that the system achieves BLEU comparable to the state-of-the-art syntactic SMT systems .	We study a novel architecture for syntactic SMT .
CL	D14-1022	1	pa	main	proposal	proposal	none	none	0	0	none	We propose a simple and effective approach to learn translation spans for the hierarchical phrase-based translation model .	
